"","year","team","pts","xpts","lastYearXpts","diffXP","xG","xGA","netTransferSpend_Attacker","netTransferSpend_Defender","netTransferSpend_Midfielder","netTransferSpend_Total","avgAge_Attacker","avgAge_Defender","avgAge_Midfielder","avgAge_Overall","n_Attacker","n_Defender","n_Midfielder"
"30",2016,"Leicester",44,48.1195,68.9442,-20.8247,44.340833,51.304373,45,3.15,18.45,66.6,24.1428571428571,26.9090909090909,25.25,25.6538461538462,7,11,8
"31",2016,"Crystal Palace",41,48.4526,44.8943,3.5583,45.40267,50.031654,-54.09,-18.945,-9.27,-82.305,25.0666666666667,27.3,24.5,25.6060606060606,15,10,8
"32",2016,"Swansea",41,36.4908,42.3999,-5.90910000000001,39.4995429,65.129661,-34.29,-23.04,5.04,-52.29,27.3,25.8333333333333,22,25.5357142857143,10,12,6
"33",2016,"Watford",40,40.6249,48.2545,-7.62959999999999,36.2545579,52.618014,-14.76,-25.42,-50.91,-91.09,21.9230769230769,26.75,25.9285714285714,25.0232558139535,13,16,14
"34",2016,"Sunderland",24,32.2426,40.5241,-8.28149999999999,34.22368,65.663528,-2.88,-29.29,16.43,-15.74,26.375,25.8823529411765,27,26.275,16,17,7
"35",2017,"Manchester City",100,91.0893,85.4131,5.67620000000001,91.434145,24.5119177,38.05,130.86,3.69,172.6,22.6666666666667,26.0833333333333,22,24,15,24,15
"36",2017,"Manchester United",81,62.3307,70.8942,-8.5635,59.043412,43.540152,76.23,-19.67,40.23,96.79,22.6666666666667,21.9,24.2,22.6666666666667,3,10,5
"37",2017,"Tottenham",77,76.0162,75.3717,0.644499999999994,68.911894,35.859433,11.7,52.56,-3.78,60.48,24.8,23.2727272727273,21.25,23.25,5,11,4
"38",2017,"Liverpool",75,79.3848,69.8308,9.55400000000002,77.485119,35.7516207,37.8,4.86,34.2,76.86,21.5,25.75,23.8,23.6666666666667,8,8,5
"39",2017,"Chelsea",70,68.457,75.737,-7.27999999999999,59.160689,34.0347137,52.29,41.22,66.51,160.02,22.5,23.8484848484848,22.2666666666667,23.1833333333333,12,33,15
"40",2017,"Arsenal",63,65.8991,62.1195,3.77960000000002,72.269335,48.745316,47.7,0,0,47.7,25.6,24.3636363636364,22,24.4444444444444,5,11,2
"41",2017,"Burnley",54,41.0017,38.3581,2.64359999999999,32.771712,52.156891,21.69,0.756,8.19,30.636,26.5833333333333,26.4,25.5,26.3461538461538,12,10,4
"42",2017,"Everton",49,47.0015,55.7771,-8.77560000000002,43.707511,55.495772,1.476,47.97,78.48,127.926,24.0909090909091,23.2727272727273,24.6666666666667,24.0294117647059,11,11,12
"43",2017,"Leicester",47,55.8547,48.1195,7.73520000000002,50.2887137,49.358723,15.03,-1.575,4.23,17.685,25.75,27.25,23.9,25.4545454545455,4,8,10
"44",2017,"Crystal Palace",44,58.0345,48.4526,9.58189999999998,56.749704,53.535269,0,32.22,0,32.22,24.5,22.9090909090909,24.8571428571429,23.875,6,11,7
"45",2017,"Bournemouth",44,37.6404,43.1742,-5.53380000000001,39.99186,64.93249,-19.89,21.42,0,1.53,26.2222222222222,26,0,26.1052631578947,9,10,0
"46",2017,"West Ham",42,39.2592,46.0425,-6.7833,36.80133,58.368869,36.09,-7.38,2.475,31.185,26,26,19.2,24.7407407407407,10,12,5
"47",2017,"Watford",41,46.6939,40.6249,6.06899999999999,45.847429,53.981191,23.01,-5.04,6.66,24.63,24.0714285714286,26.7777777777778,26.0833333333333,25.7272727272727,14,18,12
"48",2017,"Southampton",36,48.7157,55.6851,-6.96940000000001,41.880147,46.555427,-0.54,19.26,15.53,34.25,22.8333333333333,24.1111111111111,23,23.45,6,9,5
"49",2017,"Stoke",33,36.1678,52.2932,-16.1254,36.754259,65.540984,-41.85,16.29,0,-25.56,25.7272727272727,24.1176470588235,30,25.258064516129,11,17,3
"50",2017,"Swansea",33,32.3071,36.4908,-4.18369999999999,29.7130847,61.833604,1.53,-17.473,33.57,17.627,25.6666666666667,24.8333333333333,24.8,25.1176470588235,12,12,10
"51",2017,"West Bromwich Albion",31,42.9637,45.5854,-2.6217,35.184401,48.993914,29.92,5.13,-5.4,29.65,21.7,24.1666666666667,31.2,24.6666666666667,10,6,5
"52",2018,"Manchester City",98,90.6406,91.0893,-0.448699999999988,93.720559,25.7326041,61.821,-34.07,0,27.751,22.4285714285714,21.8571428571429,22.875,22.2758620689655,7,14,8
"53",2018,"Liverpool",97,83.4541,79.3848,4.06929999999997,79.45754,29.145105,-6.48,56.25,94.5,144.27,21.5384615384615,27,21.7142857142857,23.2758620689655,13,9,7
"54",2018,"Chelsea",72,71.451,68.457,2.99399999999999,63.968004,38.107687,-9.9,66.78,51.3,108.18,22.2,24.8695652173913,23.5555555555556,24.1891891891892,5,23,9
"55",2018,"Tottenham",71,61.44,76.0162,-14.5762,61.746657,49.146068,0,0,0,0,24,20.5,20,20.8333333333333,1,2,3
"56",2018,"Arsenal",70,58.9713,65.8991,-6.92780000000002,64.795372,57.2974875,-5.95,36.9,32.99,63.94,25,27,23.5,25.52,8,11,6
"57",2018,"Manchester United",66,61.8596,62.3307,-0.471099999999993,68.617498,52.30019,0,21.33,53.1,74.43,22.5,23.4,27.6666666666667,24.1333333333333,2,10,3
"58",2018,"Everton",54,55.5378,47.0015,8.53630000000002,53.866134,49.3097899,35.28,52.52,1.805,89.605,24.2,26.3076923076923,24.1111111111111,25.03125,10,13,9
"59",2018,"West Ham",52,43.7194,39.2592,4.4602,47.9605279,65.662023,57.51,21.33,-8.42,70.42,24.5,26.5,23.8,24.9642857142857,8,10,10
"60",2018,"Leicester",52,56.2378,55.8547,0.383099999999985,52.114153,44.642585,-16.83,61.983,22.5,67.653,26.8571428571429,25.7,21.75,24.76,7,10,8
"61",2018,"Watford",50,46.0015,46.6939,-0.692400000000006,51.733546,63.291171,10.386,9.765,3.02,23.171,24.1176470588235,24.2352941176471,23.2,24.0512820512821,17,17,5
"62",2018,"Crystal Palace",49,51.9255,58.0345,-6.10899999999999,50.642166,52.804285,0,0,9.63,9.63,27.3333333333333,29.8,26,27.9166666666667,3,5,4
"63",2018,"Newcastle United",45,39.2231,46.238,-7.01490000000002,39.9106505,57.545492,5.76,11.745,-5.22,12.285,24.5833333333333,26.6153846153846,24.9,25.4285714285714,12,13,10
"64",2018,"Bournemouth",45,51.4947,37.6404,13.8543,58.812899,62.423162,10.17,13.5,25.2,48.87,25.4,25.5,25.5,25.4583333333333,10,10,4
"65",2018,"Burnley",40,41.9982,41.0017,0.996500000000005,44.7412159,66.122065,0.45,18.72,0,19.17,25.4285714285714,26.6666666666667,27.6666666666667,26.2307692307692,7,3,3
"66",2018,"Southampton",39,45.1075,48.7157,-3.60819999999998,49.671325,59.271714,7.78,32.67,3.65,44.1,24.5714285714286,27.25,25.75,25.9130434782609,7,8,8
"67",2018,"Brighton",36,36.186,40.8472,-4.66120000000001,37.027868,62.462145,12.384,8.34,13.41,34.134,24.3571428571429,26,25.75,25.375,14,18,8
"68",2018,"Huddersfield",16,29.6106,36.8432,-7.23260000000001,29.002263,67.194016,14.04,2.56,2.25,18.85,24,25.8461538461538,26.6666666666667,25.3913043478261,7,13,3
"69",2019,"Liverpool",99,74.2784,83.4541,-9.17569999999999,75.19337,39.5728982,0,-26.37,0,-26.37,23.3,26.8888888888889,21.5,24.3913043478261,10,9,4
"70",2019,"Manchester City",81,86.7564,90.6406,-3.88420000000004,102.205233,36.997629,0,39.08,28.62,67.7,22,23.9411764705882,22.7894736842105,23.2,4,17,19
"71",2019,"Manchester United",66,70.9917,61.8596,9.13209999999996,66.186663,38.059164,15.3,127.8,0,143.1,22.6666666666667,24.5454545454545,29,24.1666666666667,6,11,1
"72",2019,"Chelsea",66,73.4872,71.451,2.03620000000001,76.227787,41.0882999,-16.2,-42.526,35.361,-23.365,25,26.4,24,25.5135135135135,8,20,9
"73",2019,"Leicester",62,61.1553,56.2378,4.9175,61.0171647,47.894043,-19.98,6.03,57.78,43.83,27.5714285714286,24.8,24.5,25.7777777777778,7,5,6
"74",2019,"Tottenham",59,49.2646,61.44,-12.1754,49.021303,54.127111,6.48,0,92.7,99.18,23.8333333333333,29.75,21.5,24.8571428571429,6,4,4
"75",2019,"Wolverhampton Wanderers",59,63.8213,59.9145,3.90679999999998,54.223981,37.3892739,62.01,-29.25,20.43,53.19,23.4375,23.6923076923077,22.6,23.4117647058824,16,13,5
"76",2019,"Arsenal",56,50.1471,58.9713,-8.82419999999999,50.822218,57.252266,46.53,6.21,-35.1,17.64,21.8888888888889,26.8461538461538,24.5714285714286,24.7586206896552,9,13,7
"77",2019,"Burnley",54,49.5405,41.9982,7.5423,49.3468938,53.839223,5,-8.23,-1.08,-4.31,28,30.6,25,28.0714285714286,5,5,4
"78",2019,"Southampton",52,56.8654,45.1075,11.7579,56.496626,56.592573,44.91,3.6,-19.53,28.98,25.0909090909091,25,26.7142857142857,25.5,11,8,7
"79",2019,"Everton",49,55.7761,55.5378,0.238300000000002,53.710143,49.211622,38.61,-25.38,45.9,59.13,25.4666666666667,27.2727272727273,25,25.8648648648649,15,11,11
"80",2019,"Newcastle United",44,31.9173,39.2231,-7.30580000000002,36.491737,67.029351,37.93,5.76,-8.64,35.05,24.6666666666667,23.8333333333333,24.8,24.45,9,6,5
"81",2019,"Crystal Palace",43,38.263,51.9255,-13.6625,34.4479555,57.392237,-19.08,-12.15,4.32,-26.91,25.8,27.3,29.75,27.4210526315789,5,10,4
"82",2019,"Brighton",41,48.0241,36.186,11.8381,47.424061,60.415849,21.08,-15.1,-8.37,-2.39,23.2,26.5,23.625,24.5405405405405,15,14,8
"83",2019,"West Ham",39,38.7474,43.7194,-4.97199999999999,49.0691132,68.323322,47.52,-2.61,1.71,46.62,27,25.8571428571429,24.375,25.7391304347826,8,7,8
"84",2019,"Watford",34,47.8737,46.0015,1.8722,48.562637,59.528113,4.32,5.4,-21.69,-11.97,22.4375,24.5555555555556,21.5,22.9655172413793,16,9,4
"85",2019,"Bournemouth",34,39.1979,51.4947,-12.2968,44.6710449,63.294345,18.63,8.87,9.45,36.95,25.5714285714286,25.25,22.2857142857143,24.2222222222222,7,4,7
